gen,nevals,avg,std,min,max,bestFit
0,500,19861782.0,13039921.428999333,640000.0,75425000.0,640000.0
1,450,26420166.0,16338751.973098924,1083000.0,114660000.0,640000.0
2,458,35232238.0,19255966.990139864,1716000.0,114660000.0,640000.0
3,453,42241404.0,20793040.73955476,3444000.0,118356000.0,640000.0
4,465,50923902.0,23297278.207558837,2822000.0,125391000.0,640000.0
5,426,57397930.0,25570149.293758534,1815000.0,137200000.0,640000.0
6,452,64434324.0,24196763.141606852,5880000.0,137200000.0,640000.0
7,458,69766432.0,26189371.63303801,4875000.0,139356000.0,640000.0
8,448,76626772.0,27308019.070375938,4520000.0,157976000.0,640000.0
9,448,81651412.0,28445813.804604992,2492000.0,157976000.0,640000.0
10,448,86943808.0,27598742.695476837,7222000.0,157976000.0,640000.0
11,456,93175094.0,26461976.556583297,5366000.0,156464000.0,640000.0
12,451,98557772.0,26540409.842276663,8841000.0,140910000.0,640000.0
13,463,101220046.0,26111404.120649736,5706000.0,140910000.0,640000.0
14,457,103414914.0,24310223.79861206,10425000.0,156296000.0,640000.0
15,441,108973568.0,21799683.70241587,12008000.0,157080000.0,640000.0
16,463,109355420.0,23259448.60196819,9981000.0,158984000.0,640000.0
17,449,111344992.0,22792979.317937706,5394000.0,140784000.0,640000.0
18,437,113475700.0,22698799.033296894,9213000.0,140784000.0,640000.0
19,461,114174260.0,20998531.2139778,2436000.0,156800000.0,640000.0
20,445,116120898.0,18483557.601706337,9981000.0,140784000.0,640000.0
21,448,116607110.0,19366490.236227628,14492000.0,140784000.0,640000.0
22,449,116948488.0,20449886.440219074,15464000.0,140784000.0,640000.0
23,465,118228266.0,19708871.55063029,3882000.0,140784000.0,640000.0
24,452,117990320.0,20301471.71624757,11252000.0,157080000.0,640000.0
25,432,118225326.0,20403019.70924216,10017000.0,140910000.0,640000.0
26,462,116003292.0,22506000.95669455,6178000.0,140910000.0,640000.0
27,471,118214136.0,20341158.465866785,9261000.0,157976000.0,640000.0
28,452,118648984.0,20302173.835127704,13252000.0,157976000.0,640000.0
29,446,119918270.0,17330636.00151766,41925000.0,158984000.0,640000.0
30,450,120542598.0,20067654.76841766,6654000.0,140784000.0,640000.0
31,456,122447052.0,16254523.809367532,7722000.0,140784000.0,640000.0
32,460,121870622.0,18803903.53727428,9948000.0,140910000.0,640000.0
33,459,122333152.0,19082155.616515025,10017000.0,140910000.0,640000.0
34,464,123467698.0,17866661.648858637,15464000.0,140910000.0,640000.0
35,457,123648736.0,17304476.206181567,15464000.0,140910000.0,640000.0
36,447,124928594.0,15270599.082064986,39592000.0,140910000.0,640000.0
37,465,124189228.0,17070709.32668048,9948000.0,140910000.0,640000.0
38,448,124919326.0,16946904.5458964,13252000.0,140910000.0,640000.0
39,462,124745636.0,16687751.0730327,13252000.0,140910000.0,640000.0
40,441,124712698.0,17596144.03381593,9963000.0,140910000.0,640000.0
41,448,124197086.0,19651084.559652276,11288000.0,140910000.0,640000.0
42,441,124908924.0,17091769.964466054,13272000.0,140910000.0,640000.0
43,452,124398850.0,18629509.52342815,13308000.0,140910000.0,640000.0
44,453,124861910.0,17569580.281779643,6626000.0,156632000.0,640000.0
45,461,125727018.0,15646268.907879476,55820000.0,156632000.0,640000.0
46,458,126214558.0,16604462.32512923,16535000.0,157080000.0,640000.0
47,441,125915390.0,15979808.156980483,7716000.0,157080000.0,640000.0
48,454,125581330.0,17535722.037176,9954000.0,140910000.0,640000.0
49,436,126401210.0,16305942.220488211,9954000.0,140910000.0,640000.0
50,456,127020298.0,15611048.523824273,11574000.0,140910000.0,640000.0
51,452,127169622.0,16536421.369060356,6626000.0,140910000.0,640000.0
52,438,127763612.0,17230120.763635293,9963000.0,140910000.0,640000.0
53,430,126794686.0,17869915.707339082,9939000.0,140910000.0,640000.0
54,459,125449644.0,19808784.982862122,6654000.0,140910000.0,640000.0
55,448,125315648.0,20656261.259678528,9948000.0,140910000.0,640000.0
56,474,126094168.0,18948721.302287813,9966000.0,140910000.0,640000.0
57,458,128616248.0,15998661.584598131,15528000.0,140910000.0,640000.0
58,454,127484466.0,18773782.34786065,7716000.0,140910000.0,640000.0
59,450,129798644.0,14342324.127604423,13252000.0,140910000.0,640000.0
60,459,128392668.0,18490546.68899154,3866000.0,140910000.0,640000.0
61,444,128541762.0,17557125.423296265,7722000.0,140910000.0,640000.0
62,449,127243176.0,21525584.219644863,3866000.0,140910000.0,640000.0
63,450,129239866.0,15735210.589758372,3337000.0,140910000.0,640000.0
64,462,128742668.0,16965619.957719672,9963000.0,140910000.0,640000.0
65,453,129366416.0,16697328.389624013,6664000.0,140910000.0,640000.0
66,447,129875880.0,18964299.31290898,10029000.0,140910000.0,640000.0
67,453,130628124.0,16324771.47211023,6638000.0,140910000.0,640000.0
68,451,130009302.0,17403013.36891965,6710000.0,140910000.0,640000.0
69,454,128915428.0,20906299.036817014,6678000.0,140910000.0,640000.0
70,441,130131102.0,19783278.409495123,9954000.0,156856000.0,640000.0
71,453,131289268.0,17221546.484569147,7716000.0,140910000.0,640000.0
72,450,131921914.0,16691556.028920852,9954000.0,140910000.0,640000.0
73,443,131628220.0,17500673.83318711,13240000.0,140910000.0,640000.0
74,459,132659356.0,15185952.200019069,3882000.0,140910000.0,640000.0
75,429,131691708.0,19556103.361936294,6626000.0,140910000.0,640000.0
76,473,132677740.0,16612175.594918326,15444000.0,140910000.0,640000.0
77,446,133823772.0,14114048.19716923,15528000.0,140910000.0,640000.0
78,437,133896508.0,14691536.73602377,16565000.0,140910000.0,640000.0
79,461,134267998.0,15209888.400445152,6654000.0,140910000.0,640000.0
80,461,134608770.0,16063772.807441594,6668000.0,140910000.0,640000.0
81,453,134923434.0,15112132.491797576,7722000.0,140910000.0,640000.0
82,464,133144616.0,19242166.56513876,9963000.0,140910000.0,640000.0
83,463,134537048.0,16175741.986496199,13348000.0,140910000.0,640000.0
